book_id	kind	url
000015483	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003F288
000015483	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003F28E
000015534	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000032796
000015576	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000058038
000015860	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005E188
000015860	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000015860
000015860	pdf	http://access.bl.uk/item/pdf/lsidyv3cc9515b
000015861	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D930
000016014	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000590AC
000016082	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000019B78
000016173	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005C334
000016193	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000004842
000016309	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000054BBE
000016363	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000053436
000016543	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000113BE
000016544	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005E602
000016957	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000006B82
000016969	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000006CEA
000016984	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000015078
000016984	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000016984
000016984	pdf	http://access.bl.uk/item/pdf/lsidyv37539b3a
000016986	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000246B4
000016986	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000016986
000016986	pdf	http://access.bl.uk/item/pdf/lsidyv38bf643d
000016987	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D300
000016987	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000016987
000016987	pdf	http://access.bl.uk/item/pdf/lsidyv3cb4e055
000016989	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005937C
000016990	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059382
000017004	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000363A8
000017004	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000017004
000017004	pdf	http://access.bl.uk/item/pdf/lsidyv392fcd65
000017008	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021CB4
000017008	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021CC0
000017022	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000222BA
000017022	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000222CC
000017032	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000026C9A
000017041	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002274C
000017042	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000023322
000017042	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002333A
000017042	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000017042
000017042	pdf	http://access.bl.uk/item/pdf/lsidyv389d6919
000017045	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002270A
000017045	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022710
000017054	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000006AE
000017057	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001715A
000017067	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000210FC
000017081	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000222C6
000017276	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002C688
000017277	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002C67C
000017295	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000415C2
000017591	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000040068
000017599	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003B7AE
000017602	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003DC74
000018044	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000006F84
000018044	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000006F8A
000018044	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005A82E
000018108	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000536F4
000018111	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A154
000018111	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A15A
000018111	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A160
000018125	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000053ACC
000018127	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000303F6
000018173	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000319E6
000018173	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000319EC
000018173	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000319F2
000018173	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000319F8
000018173	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000031A04
000018173	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000031A0A
000018218	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000006BF4
000018469	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021558
000018502	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004B684
000018503	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004737C
000018504	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000044A84
000018506	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004F5A8
000018551	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000041F5E
000018730	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000000728A
000019193	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059A54
000019199	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004CD76
000019505	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005AADA
000019719	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000001A88
000019719	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002826
000020960	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000038E62
000021092	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021BDC
000021092	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021BEE
000021092	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000024810
000021093	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022302
000021093	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002230E
000021093	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022320
000021095	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021DB0
000021095	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021DBC
000021095	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021DE0
000021095	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021DE6
000021095	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021DF8
000021095	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000023700
000021095	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000244AA
000021099	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000013272
000021099	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000013284
000021099	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001328A
000021099	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001329C
000021104	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000055B2A
000021105	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000465BA
000021119	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002EFE0
