book_id	primary	secondary	tertiary
002540918	Non-Fiction	Poetry	English, 18th, 19th Centuries
002540919	Non-Fiction	Poetry	English, 18th, 19th Centuries
002540933	Non-Fiction	Poetry	English, 18th, 19th Centuries
002540963	Non-Fiction	Poetry	English, Separate Works, 19th Century
002540969	Non-Fiction	Poetry	English, Separate Works, 19th Century
002540981	Non-Fiction	Poetry	English Songs & Ballads
002541022	Non-Fiction	Poetry	English, Separate Works, 19th Century
002541027	Non-Fiction	Topography	Travels
002541032	Non-Fiction	Poetry	English, Separate Works, 19th Century
002541036	Non-Fiction	Poetry	English
002541038	Non-Fiction	Poetry	English, Separate Works, 19th Century
002541045	Non-Fiction	Poetry	English, Female Poets
002541050	Non-Fiction	Poetry	English, Separate Works, 19th Century
002541063	Non-Fiction	Poetry	English, Separate Works, 19th Century
002541117	Non-Fiction	Uncategorised	
002541123	Non-Fiction	Poetry	English, Separate Works, 19th Century
002541127	Non-Fiction	Poetry	English
002541128	Non-Fiction	Poetry	English
002541140	Non-Fiction	Plays	
002541148	Non-Fiction	Poetry	English, Separate Works, 19th Century
002541474	Non-Fiction	Collections of Travels	
002541526	Non-Fiction	History	United States of America
002541819	Non-Fiction	Topography	Great Britain & Ireland
002541820	Non-Fiction	Poetry	English
002541947	Non-Fiction	Poetry	English Selections
002541958	Non-Fiction	Topography	Travels
002542058	Fiction	Fiction	English 3 Volume Novels
002542910	Fiction	Fiction	English 1 & 2 Volume Novels
002542914	Fiction	Fiction	English 3 Volume Novels
002543832	Non-Fiction	Topography	Scotch
002544297	Non-Fiction	Uncategorised	
002544522	Non-Fiction	Collected Works	English Authors
002544525	Non-Fiction	Collected Works	English Authors
002544567	Non-Fiction	Plays	
002544569	Non-Fiction	Uncategorised	
002544571	Non-Fiction	Poetry	English, Separate Works, 19th Century
002544596	Non-Fiction	Plays	
002544606	Non-Fiction	Poetry	English
002544661	Non-Fiction	Drama	English, Separate Plays, 19th Century
002544672	Non-Fiction	Plays	
002544770	Fiction	Fiction	English 1 Volume Novels
002544778	Non-Fiction	Topography	West Indian, Canadian
002544874	Non-Fiction	Topography	Turkish, Break
002545652	Non-Fiction	Topography	English, Northern
002546112	Fiction	Fiction	English 3 Volume Novels
002546267	Non-Fiction	History	Russian
002546292	Non-Fiction	Uncategorised	
002546326	Non-Fiction	History	English
002546329	Non-Fiction	History	Ancient
002546970	Non-Fiction	Hydrography	
002547102	Fiction	Fiction	English 3 Volume Novels
002547167	Non-Fiction	Topography	English, Southern
002547744	Non-Fiction	Plays	
002547751	Non-Fiction	Topography	European
002547752	Non-Fiction	Topography	Rolan
002548416	Non-Fiction	Poetry	English Selections
