volume_id	book_id	volume_num	total	path	filesize
000021095_06	000021095	6	7	0000/000021095_06_text.txt	1571
000021095_07	000021095	7	7	0000/000021095_07_text.txt	1697
000021099_01	000021099	1	4	0000/000021099_01_text.txt	1440
000021099_02	000021099	2	4	0000/000021099_02_text.txt	1984
000021099_03	000021099	3	4	0000/000021099_03_text.txt	1783
000021099_04	000021099	4	4	0000/000021099_04_text.txt	1910
000021104_01	000021104	1	1	0000/000021104_01_text.txt	572
000021105_01	000021105	1	1	0000/000021105_01_text.txt	3
000021119_01	000021119	1	1	0000/000021119_01_text.txt	70
000021199_01	000021199	1	1	0000/000021199_01_text.txt	143
000021430_01	000021430	1	1	0000/000021430_01_text.txt	88
000021659_01	000021659	1	1	0000/000021659_01_text.txt	44
000021707_01	000021707	1	1	0000/000021707_01_text.txt	388
000021708_01	000021708	1	1	0000/000021708_01_text.txt	408
000021709_01	000021709	1	1	0000/000021709_01_text.txt	422
000021782_01	000021782	1	1	0000/000021782_01_text.txt	183
000021791_01	000021791	1	1	0000/000021791_01_text.txt	48
000021808_01	000021808	1	1	0000/000021808_01_text.txt	150
000021814_01	000021814	1	1	0000/000021814_01_text.txt	912
000022105_01	000022105	1	1	0000/000022105_01_text.txt	21
000022197_01	000022197	1	1	0000/000022197_01_text.txt	1002
000022207_01	000022207	1	1	0000/000022207_01_text.txt	287
000022288_01	000022288	1	1	0000/000022288_01_text.txt	45
000022376_01	000022376	1	1	0000/000022376_01_text.txt	38
000022564_01	000022564	1	1	0000/000022564_01_text.txt	316
000022782_01	000022782	1	1	0000/000022782_01_text.txt	13
000023565_01	000023565	1	1	0000/000023565_01_text.txt	112
000024878_01	000024878	1	1	0000/000024878_01_text.txt	393
000024896_01	000024896	1	1	0000/000024896_01_text.txt	351
000024897_01	000024897	1	2	0000/000024897_01_text.txt	908
000024897_02	000024897	2	2	0000/000024897_02_text.txt	989
000024906_01	000024906	1	1	0000/000024906_01_text.txt	138
000024909_01	000024909	1	1	0000/000024909_01_text.txt	337
000024928_01	000024928	1	1	0000/000024928_01_text.txt	11
000024942_01	000024942	1	1	0000/000024942_01_text.txt	311
000024943_01	000024943	1	1	0000/000024943_01_text.txt	382
000027783_01	000027783	1	1	0000/000027783_01_text.txt	2797
000027788_01	000027788	1	1	0000/000027788_01_text.txt	184
000027797_01	000027797	1	1	0000/000027797_01_text.txt	8
000027877_01	000027877	1	2	0000/000027877_01_text.txt	494
000027877_02	000027877	2	2	0000/000027877_02_text.txt	468
000028004_01	000028004	1	1	0000/000028004_01_text.txt	98
000028746_01	000028746	1	1	0000/000028746_01_text.txt	462
000028758_01	000028758	1	2	0000/000028758_01_text.txt	402
